id,cluster_name,authors,a1,title,affiliation,proceeding,location,a2,a3,pages,editor,a4,a5
0,auer1995a,"p. auer, n. cesa-bianchi, y. freund, and r. e. schapire,",,"gambling in a rigged casino: the adversarial multi-armed bandit problem,'",,"in proc. 36th annual symposium on foundations of computer science,","los alamitos, ca:","ieee computer society press,","1995,",pp. 322-331.,,,
1,blum1993,"a. blum, m. furst, m. j. kearns, and richard j. lipton.",,cryptographic primitives based on hard learning problems.,,"in pre-proceedings of crypto '93,",,,1993,"pages 24.1-24.10,",,,
2,blum1993,"avrim blum, merrick furst, michael kearns, and richard j. lipton.",,cryptographic primitives based on hard learning problems.,,"in pre-proceedings of crypto '93,",,,1993,"pages 24.1-24.10,",,,
3,blum1993,"avrim blum, merrick furst, michael kearns, and richard j. lipton.",,cryptographic primitives based on hard learning problems.,,"proc. crypto 93,",,"springer,",1994,pages 278-291.,"in douglas r. stinson, editor,",lecture notes in computer science no. 773.,
4,blum1993,"a. blum, m. furst, m. kearns, r. lipton.",,cryptographic primitives based on hard learning problems.,,"crypto,",,,1993,,,,
5,blum1994,"blum, a., furst, m., jackson, j., kearns, m., mansour, y., & rudich, s.",,weakly learning dnf and characterizing statistical query learning using fourier analysis.,,"proceedings of the 26th annual acm symposium on theory of computing,",,,(1994).,pp. 253-262.,,,
6,blum1994,"blum, a., furst, m., jackson, j., kearns, m., mansour, y., & rudich, s.",,weakly learning dnf and characterizing statistical query learning using fourier analysis.,,"in proceedings of the twenty-sixth annual acm symposium on theory of computing,","montreal, canada.",acm press.,(1994).,"(pp. 253-262),",,,
7,blum1994,"blum a., furst m., jackson j., kearns m., mansour y., and rudich s.",,weakly learning dnf 10 and characterizing statistical query learning using fourier analysis.,,in proc. 26th annu. acm sympos. theory comput.,"new york, ny,","acm press,",1994,,,,
8,blum1994,"a. blum, m. furst, j. jackson, m. kearns, y. mansour, and s. rudich.",,weakly learning dnf and characterizing statistical query learning using fourier analysis.,,in proceedings of the 26th acm symposium on the theory of computing.,"new york, ny,","acm press,",1994,,,,
9,blum1994,"avrim blum, merrick furst, jeffrey jackson, michael kearns, yishay mansour, and steven rudich.",,weakly learning dnf and characterizing statistical query learning using fourier analysis.,,"in t he 26 th annual acm symposium on t heory of computing,",,,1994,"pages 253 - 262,",,,
10,blum1994,"avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.",,weakly 8 learning dnf and characterizing statistical query learn-ing using fourier analysis.,,"in proceedings of the 26 th annual acm symposium on the theory of computing,",,,1994,,,,may
11,blum1994,"avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.",,weakly learning dnf and characterizing statistical query learning using fourier analysis.,,"in proceedings of the 26 th annual acm symposium on the theory of computing,",,,1994,,,,may
12,blum1994,"avrim blum, merrick furst, jeffery jackson, michael kearns, yishay mansour, and steven rudich.",,weakly learning dnf and characterizing statistical query learning using fourier analysis.,,"in proceedings of the twenty-sixth annual acm symposium on the theory of computing,",,,1994,,,to appear.,
13,blum1994,"a. blum, m. furst, j. jackson, m. kearns, y. mansour, and s. rudich.",,weakly learning dnf and characterizing statistical query learning using fourier analysis.,,"in proceedings of twenty-sixth acm symposium on theory of computing,",,,1994,,,,
14,blum1994,"blum, a., m. furst, j. jackson, m. kearns, y. mansour and s. rudich,",,"weakly learning dnf and characterizing statistical query learning using fourier analysis,",,"proceedings of the 26th annual acm symposium on theory of computing,",,,1994,"pp. 253-62,",,,
15,cesa,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,,1993,"pages 382-391,",,,may
16,cesa,"n. cesa-bianchi, y. freund, d.p. helmbold, d. haussler, r.e. schapire, and m.k. warmuth.",,how to use expert advice.,,"in annual acm symposium on theory of computing,",,,1993,"pages 382-391,",,,
17,cesa,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,,1993,"pages 382-391,",,,may
18,cesa,"nicolo cesa-bianchi, yoav freund, david p. helmbold, david haussler, robert e. schapire, and manfred k. warmuth.",,how to use expert advice.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,,1993,"pages 382-391,",,"to appear, journal of the association for computing machinery.",
19,cesa,"n. cesa-bianchi, y. freund, d. helmbold, d. haussler, r. schapire, and m. k. warmuth.",,how to use expert advice.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,"morgan kaufmann,",1993,pages 382-391.,,to appear in journal of the association for computing machinery.,
20,cesa,"cesa-bianchi, n., freund, y., helmbold, d. p., haussler, d., schapire, r. e., & warmuth, m. k.",,how to use expert advice.,,proceedings of the annual acm symposium on the theory of computing (pp.,,,(1993).,382-391).,,,
21,cesa,"cesa-bianchi, n., freund, y., helmbold, d., & haussler, d.",,how to use expert advice.,,"in proceedings of the twenty-fifth annual acm symposium on the theory of computing,",,,(1993).,(pp. 382-391).,,"morgan kaufmann. to appear in journal of the association for computing machinery, schapire and warmuth also on this article but too long.",
22,cesa,"cesa-bianchi, n., freund, y., helmbold, d., haussler, d., schapire, r., and warmuth, m.",,how to use expert advice.,,"in proceedings of the annual acm symp. on the theory of computing,",,,(1993).,pages 382-391.,,,
23,cesa,"cesa-bianchi, n., y. freund, d. p. helmbold, d. haus-sler, and r. e. schapire a nd m. k. warmuth.",,how to use expert advice.,,,pages 382-391.,,1995,,,,
