label,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,id
1,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,4699
1,michigan wolverines iphone 4 case silicone cover,electronics - general,tribeca,fva3437,24.99,michigan wolverines iphone 4 case silicone cover,computers accessories,tribeca,,17.99,1353
1,innovera d2130b black compatible high-yield toner print cartridge,printers,innovera,d2130b,58.9,new-innovera d2130b - d2130b compatible high-yield toner 2500 page-yield black - ivrd2130b,computer accessories,innovera,,78.0,1564
1,da-lite da-glas standard rear projection screen 72 x 96 video format,electronics - general,da-lite,27639,4448.99,da-lite 27639 da-glas standard rear projection screen 72 x 96 video format,projection screens,da-lite,,,5013
1,pc treasures wireless optical mouse 2.4 ghz purple,mice,pc treasures,07227,17.82,pc treasures mighty mini mouse - 2.4 ghz wireless,mice,pc treasures,07227,14.69,4586
1,sumdex slr camera sling pack,mp3 accessories,sumdex,144952,39.99,slr camera sling pack,cases bags,sumdex,poc-484bk,44.59,5798
1,xerox 108r00645 imaging unit for phaser 6300 and 6350 printer,printers,xerox,108r00645,244.84,xerox printers imaging unit phaser 6300 6350 108 r00645,printer ink toner,xerox,108r00645,253.79,5226
1,hp q6511a hp 11a toner 6000 page-yield black,printers,hp,q6511a,191.03,hp q6511a laserjet 11a black print cartridge in retail packaging,laser printer toner,hp,q6511a,,2677
1,hp 56 black inkjet cartridge c6656an,printers,hp,c6656an,23.97,genuine hp 56 c6656an black inkjet print cartridge,inkjet printer ink,hp,c6656an,24.19,435
1,toshiba ph3100u-1e3s 1tb usb 3.0 desktop hard drive,hard drives,toshiba,ph3100u-1e3s,89.0,toshiba 1 tb usb 3.0 external hard drive ph3100u-1e3s black silver,external hard drives,toshiba,ph3100u-1e3s,80.23,1329
1,incipio smart feather for apple ipad 2 light blue,electronics - general,incipio,ipad-227,33.25,incipio smart feather case for apple ipad 2 - light blue ipad-227,cases sleeves,incipio,ipad-227,29.13,5155
1,incipio smart feather for apple ipad 2 lime,electronics - general,incipio,ipad-228,33.25,incipio smart feather case for apple ipad 2 - lime ipad-228,cases sleeves,incipio,ipad-228,29.18,2095
1,nzxt phantom crafted series atx full tower steel chassis black,electronics - general,nzxt,nzxt phantom,139.82,nzxt crafted series atx full tower steel chassis - phantom black,computer cases,nzxt,phantom black,119.99,327
