label,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,id
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,cinegray ezframe series fixed frame screen - 150 diagonal,projection screens,elite,,879.0,0
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,powergain prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,1
0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,powergain prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,2
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,cinewhite prime vision series fixed frame screen - 120 diagonal,projection screens,elite,,929.0,3
0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,cinewhite prime vision series fixed frame screen - 120 diagonal,projection screens,elite,,929.0,4
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,cinewhite cinema235 series fixed frame wide screen - 96 diagonal,projection screens,elite,,459.0,5
0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,cinewhite cinema235 series fixed frame wide screen - 96 diagonal,projection screens,elite,,459.0,6
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,7
0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - general,elite screens,r85wh1-wide,409.0,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal,projection screens,elite,,205.2,8
0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal,projection screens,elite,,205.2,9
