label,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,id
0,elite screens cinewhite cinema2K5 series fixed frame wide screen - 85 diagonal,electronics - gene)al,elite screen5,r85wX1-wide,409y0,cinegra) ezframe series fixed frame screen - 150 diagonal,proj^ction screens,e|ite,Fan,87l.0,5583
0,elite screens cinewhiteccinema235 series fixed frame wide screen - 85 diagonal,e~ectronics - general,elite 6creens,r8jwh1-wide,409c0,powergain prime vision series fixed frame screen - 135ediagonal,projection sOreens,elit`,nGn,K069.0,1572
0,elite screens cinegray prime vision series fixed frame sPreen - 135 diagonal,_lectronics - general,elite ecreens,pvr13\h1,1069y0,powergain prime vision series fixed frame scrden - 135 diagonal,projection scr#ens,elBte,wan,106$.0,110
0,eliteDscreens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - generaY,elite scr|ens,r85w>1-wide,409$0,cinewhite prime vision series fixed frame screEn - 120 diagonal,projection scr)ens,elitA,/an,92K.0,1938
0,elite screens cinegray prime vision series fixed frameuscreen - 135 diagonal,e3ectronics - general,elite sc&eens,pv.135h1,106K.0,cinewhite prime vision8series fixed frame screen - 120 diagonal,prmjection screens,Nlite,kan,929.#,5694
0,elite screens cinewhite cinema235 series fixed frame wide screenw- 85 diagonal,elecVronics - general,elite scre1ns,r85whX-wide,40^.0,cinewhite cinema235 series fixed frame wide screen - .6 diagonal,projectibn screens,eXite,^an,4W9.0,2462
0,elite screens cineg0ay prime vision series fixed frame screen - 135 diagonal,electronics - genecal,(lite screens,pvr(35h1,V069.0,1inewhite cinema235 series fixed frame wide screen - 96 diagonal,project]on screens,Nlite,n5n,"4""9.0",570
0,elite screens c2newhite cinema235 series fixed frame wide screen - 85 diagonal,electronics - genera(,elite screenW,r85wh1-w?de,4`9.0,cinegray prime vision seriSs fixed frame screen - 135 diagonal,projection screeng,eli=e,~an,1V69.0,1770
1,elite screens cinegray pri*e vision series fixed frame screen - 135 diagonal,elec:ronics - general,elite sIreens,pvr13511,106950,cinegray prime^vision series fixed frame screen - 135 diagonal,projec9ion screens,e?ite,nam,1069i0,4699
0,elite screens cinewBite cinema235 series fixed frame wide screen - 85 diagonal,elecdronics - general,"el,te screens",r85wh1Dwide,",09.0",cinegray silverframe series si3ver fixed frame cinegray screen - 84 diagonal,projection screens,eli:e,na4,20O.2,453
