label,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,id
0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,local verification of global integrity constraints in distributed databases,"a gupta , j widom",,,0
0,temporal conditions and integrity constraints in active database systems,"a sistla , o wolfson",sigmod conference,1995,local verification of global integrity constraints in distributed databases,"a gupta , j widom",,,1
0,the role of integrity constraints in database interoperation,"m vermeer , p apers",vldb,1996,local verification of global integrity constraints in distributed databases,"a gupta , j widom",,,2
1,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,protocol : a technique for maintaining linear arithmetic constraints in distributed database systems,", h garcia-molina",,,3
0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,a locking protocol for resource coordination in distributed databases,"da menasce , gj popek , rr muntz","acm transactions on database systems ,",1980.0,4
1,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarã ¡ - millã ¡ , h garcia-molina","the vldb journal the international journal on very large & hellip ; ,",1994.0,5
0,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarã ¡ - millã ¡ , h garcia-molina","the vldb journal the international journal on very large & hellip ; ,",1994.0,6
0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,query processing in sdd-1 : a system for distributed databases,"n goodman , pa bernstein , e wong , cl reeve , jb","acm _ tods ,",,7
0,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,query processing in sdd-1 : a system for distributed databases,"n goodman , pa bernstein , e wong , cl reeve , jb","acm _ tods ,",,8
0,mariposa : a wide-area distributed database system,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,1996,query processing in sdd-1 : a system for distributed databases,"n goodman , pa bernstein , e wong , cl reeve , jb","acm _ tods ,",,9
0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,revisiting commit processing performance in distributed database systems,"r gupta , j haritsa , k ramamritham","proc . acm sigmod int &#39; l conf . management of data ,",,10
1,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,revisiting commit processing performance in distributed database systems,"r gupta , j haritsa , k ramamritham","proc . acm sigmod int &#39; l conf . management of data ,",,11
1,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed database,"d barbara , h garcia-molina",lecture notes in computer,,12
0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,data allocation in distributed database systems,pmg apers,acm transactions on database,1988.0,13
0,locating data sources in large distributed systems,"l galanis , y wang , s jeffery , d dewitt",vldb,2003,data allocation in distributed database systems,pmg apers,acm transactions on database,1988.0,14
0,deeds towards a distributed and active real-time database system,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",sigmod record,1996,data allocation in distributed database systems,pmg apers,acm transactions on database,1988.0,15
0,an introduction to spatial database systems,r gќting,vldb j.,1994,data allocation in distributed database systems,pmg apers,acm transactions on database,1988.0,16
0,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,data allocation in distributed database systems,pmg apers,acm transactions on database,1988.0,17
0,disima : a distributed and interoperable image database system,"v oria , m жzsu , p iglinski , s lin , b yao",sigmod conference,2000,data allocation in distributed database systems,pmg apers,acm transactions on database,1988.0,18
0,the network is the database : data management for highly distributed systems,"j navas , m wynblatt",sigmod conference,2001,data allocation in distributed database systems,pmg apers,acm transactions on database,1988.0,19
0,smooth - a distributed multimedia database system,"h kosch , l bіszіrmщnyi , a bachlechner , c hanin , c hofbauer , m lang , c riedler , r tusch",vldb,2001,data allocation in distributed database systems,pmg apers,acm transactions on database,1988.0,20
0,query caching and optimization in distributed mediator systems,"s adali , k candan , y papakonstantinou , v subrahmanian",sigmod conference,1996,data allocation in distributed database systems,pmg apers,acm transactions on database,1988.0,21
0,deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis,"n krivokapic , a kemper , e gudes",vldb j.,1999,data allocation in distributed database systems,pmg apers,acm transactions on database,1988.0,22
0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,local verification of global constraints in distributed databases,"a gupta , j widom","proceedings of the acm sigmod conference on management of & hellip ; ,",,23
0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,distributed query processing in database systems,"r epstein , m stonebraker , e wong","proc . acm sigmod , austin . tx . june ,",,24
0,locating data sources in large distributed systems,"l galanis , y wang , s jeffery , d dewitt",vldb,2003,distributed query processing in database systems,"r epstein , m stonebraker , e wong","proc . acm sigmod , austin . tx . june ,",,25
0,query optimization in compressed database systems,"z chen , j gehrke , f korn",sigmod conference,2001,distributed query processing in database systems,"r epstein , m stonebraker , e wong","proc . acm sigmod , austin . tx . june ,",,26
0,disima : a distributed and interoperable image database system,"v oria , m жzsu , p iglinski , s lin , b yao",sigmod conference,2000,distributed query processing in database systems,"r epstein , m stonebraker , e wong","proc . acm sigmod , austin . tx . june ,",,27
0,distributed processing over stand-alone systems and applications,"g alonso , c hagen , h schek , m tresch",vldb,1997,distributed query processing in database systems,"r epstein , m stonebraker , e wong","proc . acm sigmod , austin . tx . june ,",,28
0,mariposa : a wide-area distributed database system,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,1996,distributed query processing in database systems,"r epstein , m stonebraker , e wong","proc . acm sigmod , austin . tx . june ,",,29
0,query processing in tertiary memory databases,s sarawagi,vldb,1995,distributed query processing in database systems,"r epstein , m stonebraker , e wong","proc . acm sigmod , austin . tx . june ,",,30
1,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed database,d barbara911 barbara,"cs-tr-320-9 1 , princeton university , april 199",,31
0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,a locking protocol for resource coordination in distributed systems,"da menasce , gj popek , rr muntz","tods , june ,",,32
0,locating data sources in large distributed systems,"l galanis , y wang , s jeffery , d dewitt",vldb,2003,a locking protocol for resource coordination in distributed systems,"da menasce , gj popek , rr muntz","tods , june ,",,33
0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,transactions and consistency in distributed database systems,"il traiger , j gray , ca galtieri , bg lindsay","acm transactions on database systems ,",1982.0,34
0,the mariposa distributed database management system,j sidell,sigmod record,1996,transactions and consistency in distributed database systems,"il traiger , j gray , ca galtieri , bg lindsay","acm transactions on database systems ,",1982.0,35
0,distributed transactions in practice,"p ram , l do , p drew",sigmod record,1999,transactions and consistency in distributed database systems,"il traiger , j gray , ca galtieri , bg lindsay","acm transactions on database systems ,",1982.0,36
0,deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis,"n krivokapic , a kemper , e gudes",vldb j.,1999,transactions and consistency in distributed database systems,"il traiger , j gray , ca galtieri , bg lindsay","acm transactions on database systems ,",1982.0,37
0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,implementation techniques for main memory database systems,"dj dewitt , rh katz , f olken , ld shapiro , mr","proceedings of the 1984 acm sigmod international conference & hellip ; ,",1984.0,38
0,implementation of two semantic query optimization techniques in db2 universal database,"q cheng , j gryz , f koo , t leung , l liu , x qian , k schiefer",vldb,1999,implementation techniques for main memory database systems,"dj dewitt , rh katz , f olken , ld shapiro , mr","proceedings of the 1984 acm sigmod international conference & hellip ; ,",1984.0,39
0,a non-uniform data fragmentation strategy for parallel main-menory database systems,"n bassiliades , i vlahavas",vldb,1995,implementation techniques for main memory database systems,"dj dewitt , rh katz , f olken , ld shapiro , mr","proceedings of the 1984 acm sigmod international conference & hellip ; ,",1984.0,40
0,implementing lazy database updates for an object database system,"f ferrandina , t meyer , r zicari",vldb,1994,implementation techniques for main memory database systems,"dj dewitt , rh katz , f olken , ld shapiro , mr","proceedings of the 1984 acm sigmod international conference & hellip ; ,",1984.0,41
0,an almost-serial protocol for transaction execution in main-memory database systems,"s blott , h korth",vldb,2002,implementation techniques for main memory database systems,"dj dewitt , rh katz , f olken , ld shapiro , mr","proceedings of the 1984 acm sigmod international conference & hellip ; ,",1984.0,42
0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,achieving robustness in distributed database systems,"dl eager , kc sevcik","acm transactions on database systems ,",1983.0,43
0,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,achieving robustness in distributed database systems,"dl eager , kc sevcik","acm transactions on database systems ,",1983.0,44
0,improving timeliness in real-time secure database systems,"s son , r david , b thuraisingham",sigmod record,1996,achieving robustness in distributed database systems,"dl eager , kc sevcik","acm transactions on database systems ,",1983.0,45
0,the mariposa distributed database management system,j sidell,sigmod record,1996,achieving robustness in distributed database systems,"dl eager , kc sevcik","acm transactions on database systems ,",1983.0,46
0,mariposa : a wide-area distributed database system,"m stonebraker , p aoki , w litwin , a pfeffer , a sah , j sidell , c staelin , a yu",vldb j.,1996,achieving robustness in distributed database systems,"dl eager , kc sevcik","acm transactions on database systems ,",1983.0,47
0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,production rules in parallel and distributed database systems,"s ceri , j widom","proceedings of the 18th vldb conference , aug ,",,48
0,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,production rules in parallel and distributed database systems,"s ceri , j widom","proceedings of the 18th vldb conference , aug ,",,49
0,an introduction to deductive database languages and systems,"k ramamohanarao , j harland",vldb j.,1994,production rules in parallel and distributed database systems,"s ceri , j widom","proceedings of the 18th vldb conference , aug ,",,50
0,deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis,"n krivokapic , a kemper , e gudes",vldb j.,1999,production rules in parallel and distributed database systems,"s ceri , j widom","proceedings of the 18th vldb conference , aug ,",,51
0,parallel database systems 101,j gray,sigmod conference,1995,production rules in parallel and distributed database systems,"s ceri , j widom","proceedings of the 18th vldb conference , aug ,",,52
1,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,the demarcation protocol : a technique for maintaining arithmetic constraints in distributed database,"d barbara , h garcia-molina",,1991.0,53
0,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"d barbarс , h garcia-molina",vldb j.,1994,a model for optimal database allocation in distributed computer systems,"gm chiu , cs raghavendra","ieee computer ,",,54
0,query optimization in compressed database systems,"z chen , j gehrke , f korn",sigmod conference,2001,a model for optimal database allocation in distributed computer systems,"gm chiu , cs raghavendra","ieee computer ,",,55
0,revisiting commit processing in distributed database systems,"r gupta , j haritsa , k ramamritham",sigmod conference,1997,a model for optimal database allocation in distributed computer systems,"gm chiu , cs raghavendra","ieee computer ,",,56
0,query caching and optimization in distributed mediator systems,"s adali , k candan , y papakonstantinou , v subrahmanian",sigmod conference,1996,a model for optimal database allocation in distributed computer systems,"gm chiu , cs raghavendra","ieee computer ,",,57
1,on-demand data elevation in hierarchical multimedia storage servers,"p triantafillou , t papadakis",vldb,1997,on-demand data elevation in a hierarchical multimedia storage server,"p triantallou , t papadakis","proc . of 23rd intl. conf . on very large data bases , vldb ,",1997.0,58
0,on-demand data elevation in hierarchical multimedia storage servers,"p triantafillou , t papadakis",vldb,1997,multimedia data elevation under a hierarchical storage model,"a vakali , e terzi",,,59
