ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes
securing xml documents : the author-x project demonstration,"elisa bertino , elena ferrari , silvana castano",sigmod conference,2001,projecting xml documents,"elisa bertino , silvana castano , elena ferrari",international conference on management of data,2001,"('title',)"
securing xml documents : the author-x project demonstration,"elisa bertino , elena ferrari , silvana castano",sigmod conference,2001,securing xml documents : the author-x project demonstration,"elisa bertino , silvana castano , elena ferrari",international conference on management of data,2003,"('year',)"
eddies : continuously adaptive query processing,"ron avnur , joseph m. hellerstein",sigmod conference,2000,eddies : continuously adaptive query processing,"ron avnur , joseph m. hellerstein",international conference on management of data,2003,"('year',)"
mpeg-7 standard for multimedia databases,john r. smith,sigmod conference,2001,standard for multimedia databases,john r. smith,sigmod conference,2001,"('venue',)"
mpeg-7 standard for multimedia databases,john r. smith,sigmod conference,2001,standard for multimedia databases,john r. smith,international conference on management of data,1995,"('year',)"
mpeg-7 standard for multimedia databases,john r. smith,sigmod conference,2001,standard for multimedia databases,john r. smith,sigmod conference,2001,"('venue',)"
mpeg-7 standard for multimedia databases,john r. smith,sigmod conference,2001,standard for multimedia databases,john r. smith,international conference on management of data,1997,"('year',)"
mpeg-7 standard for multimedia databases,john r. smith,sigmod conference,2001,standard for multimedia databases,john r. smith,international conference on management of data,1994,"('year',)"
mpeg-7 standard for multimedia databases,john r. smith,sigmod conference,2001,standard for multimedia databases,"laks v. s. lakshmanan , marc gyssens",international conference on management of data,2001,"('authors',)"
mpeg-7 standard for multimedia databases,john r. smith,sigmod conference,2001,standard for multimedia databases,john r. smith,international conference on management of data,1997,"('year',)"
standard for multimedia databases,john r. smith,international conference on management of data,2001,mpeg-7 standard for multimedia databases,john r. smith,international conference on management of data,2001,"('venue',)"
standard for multimedia databases,john r. smith,international conference on management of data,2001,mpeg-7 standard for multimedia databases,john r. smith,sigmod conference,1997,"('year',)"
on parallel processing of aggregate and scalar functions in object-relational dbms,"michael jaedicke , bernhard mitschang",sigmod conference,1998,on parallel processing of aggregate and scalar functions in object-relational dbms,"michael jaedicke , bernhard mitschang",international conference on management of data,1999,"('year',)"
on parallel processing of aggregate and scalar functions in object-relational dbms,"michael jaedicke , bernhard mitschang",sigmod conference,1998,intra-transaction parallelism in the mapping of an object model to a relational multi-processor system,"michael jaedicke , bernhard mitschang",international conference on management of data,1998,"('title',)"
on parallel processing of aggregate and scalar functions in object-relational dbms,"michael jaedicke , bernhard mitschang",sigmod conference,1998,on parallel processing of aggregate and scalar functions in object-relational dbms,"michael jaedicke , bernhard mitschang",international conference on management of data,1996,"('year',)"
on parallel processing of aggregate and scalar functions in object-relational dbms,"michael jaedicke , bernhard mitschang",international conference on management of data,1998,query processing over object views of relational data,"michael jaedicke , bernhard mitschang",sigmod conference,1998,"('title',)"
on parallel processing of aggregate and scalar functions in object-relational dbms,"michael jaedicke , bernhard mitschang",international conference on management of data,1998,on parallel processing of aggregate and scalar functions in object-relational dbms,"michael jaedicke , bernhard mitschang",sigmod conference,1997,"('year',)"
promises and realities of active database systems,"eric simon , angelika kotz dittrich",vldb,1995,priority assignment in real-time active databases,"eric simon , angelika kotz dittrich",very large data bases,1995,"('title',)"
promises and realities of active database systems,"eric simon , angelika kotz dittrich",vldb,1995,promises and realities of active database systems,"rajendran m. sivasankaran , bhaskar purimetla , john a. stankovic , krithi ramamritham , donald f. towsley",very large data bases,1995,"('authors',)"
promises and realities of active database systems,"eric simon , angelika kotz dittrich",vldb,1995,promises and realities of active database systems,"eric simon , angelika kotz dittrich",very large data bases,1996,"('year',)"
promises and realities of active database systems,"eric simon , angelika kotz dittrich",vldb,1995,promises and realities of active database systems,"ouri wolfson , a. prasad sistla",very large data bases,1995,"('authors',)"
promises and realities of active database systems,"eric simon , angelika kotz dittrich",vldb,1995,promises and realities of active database systems,"eric simon , angelika kotz dittrich",very large data bases,1997,"('year',)"
promises and realities of active database systems,"eric simon , angelika kotz dittrich",vldb,1995,promises and realities of active database systems,"eric simon , angelika kotz dittrich",very large data bases,2002,"('year',)"
promises and realities of active database systems,"eric simon , angelika kotz dittrich",vldb,1995,improving timeliness in real-time secure database systems,"eric simon , angelika kotz dittrich",very large data bases,1995,"('title',)"
