title,manufacturer,price,SampleID
4555,6729,6693,9854
2167,1680,1908,11529
2500,4651,2541,10889
1960,3941,3829,10954
5658,3749,3880,9591
3006,112,6580,9891
3669,4271,6657,10923
1207,112,4056,10388
3527,3835,1884,10779
1216,6248,2710,11466
1997,3,1252,11652
3201,112,6647,11407
1821,3161,5417,10692
2470,5646,450,10113
3110,3680,6541,10901
4208,3,2902,11200
4276,5017,133,10063
6195,3894,4882,9739
2565,4,6113,10377
410,112,4220,9496
4913,105,2627,9411
1401,4719,3523,11372
1064,3941,2523,10463
2999,5703,4366,10803
2787,3,4693,9874
1063,3856,6367,10167
6280,533,3049,10843
1152,931,5880,9969
3005,1600,2474,10920
6029,2808,3185,9767
3981,5278,5723,10397
6023,2808,3037,11458
2308,2704,70,10223
229,1600,2787,9863
4208,3,5615,10851
4921,2509,1187,10999
6425,3856,6367,9513
584,4719,4943,11001
5640,5983,663,11150
4103,3070,4693,10861
6873,3894,3185,10381
5337,2808,593,10781
5806,3941,3356,10282
4704,4198,4136,10445
2400,5911,4217,11450
6128,6844,6866,9894
1066,2793,1294,11132
6357,2808,2585,10310
72,1274,5797,10809
762,2375,5426,11415
866,2419,2377,11586
3201,112,6065,10166
3921,5703,3231,11329
5170,5703,5680,9526
2468,6037,4413,11292
4093,6507,4693,9602
1118,5703,4772,9991
5044,3680,2710,9723
1580,1680,1321,9818
547,1309,3753,9549
6481,5228,2687,11248
4208,668,2246,10276
5390,1600,1023,10402
5170,4,1785,10480
6623,6037,6239,9561
3201,533,1990,9993
6647,1241,4534,9508
1675,3835,4775,10844
6772,533,6221,11231
2167,1680,1908,10049
4419,3835,6612,9885
1935,5012,4693,9486
6873,3685,245,11227
2196,5093,663,10209
6815,194,131,11540
2405,2533,1588,10178
4593,112,4772,11584
5938,4352,699,10667
5030,3835,5663,11286
1147,2533,2651,9453
1971,3941,4261,11444
4846,2419,4608,10343
1917,3,699,9964
348,1114,4693,11335
6655,4166,3823,9432
5321,112,5832,10120
1869,3,4254,11004
6585,2676,1893,9672
1935,3835,1187,11569
6059,3941,2700,10758
5474,3,6518,11375
1639,4719,4434,11160
2917,2509,2286,11588
605,2950,2716,10729
2962,4719,4943,10849
2191,2793,5702,9963
922,194,2710,9771
4208,1600,5816,11403
4829,2940,3356,9990
4453,4719,6857,11642
1372,1600,4868,10693
998,3835,180,10375
3734,2704,451,9571
1477,6844,4056,9393
4172,6431,4402,11092
3456,2808,4151,10635
4208,5562,5635,9722
5557,2710,1777,10067
2834,1114,4488,11119
1066,112,2700,9592
1983,1655,4402,10414
2308,4988,131,9897
2518,5554,4693,11282
1066,5278,3829,9567
1846,5554,5560,10577
3526,560,2766,10978
6845,3,499,11563
5622,267,3260,11325
6213,3856,2997,10425
755,3,2286,9974
6195,4198,5911,10437
451,3894,1224,10517
4687,5554,5134,10294
4212,668,2798,9430
6555,3,6696,9624
1372,1193,6541,11216
577,4846,2710,10089
6810,1600,4693,10051
6647,3,5965,10155
2593,6037,4964,9775
1027,3070,2546,9593
5566,2710,5174,10323
559,668,3660,9645
3076,3,451,10630
1824,3894,3530,11472
2662,3,4693,9515
4208,4629,3772,10806
5318,5562,4693,9978
6498,5360,3224,10352
3830,267,797,9422
2470,3894,2314,11380
1092,3,4693,10163
3950,4734,2625,9823
559,1600,2760,9741
1520,5174,5863,11148
1311,2793,6307,9708
5989,5554,3530,9975
6155,6037,3986,10736
1413,3,5043,10589
4756,4967,484,10545
604,2146,4693,10996
6443,4613,699,11237
5640,4228,5020,9426
4339,2676,1767,9563
2766,112,6132,9517
400,3894,5892,10719
1404,699,905,10724
130,194,2710,10821
2952,3,4773,10117
4208,5983,4122,10519
5944,3,3647,9545
5325,6705,685,11034
3344,2710,6420,10677
6319,704,3900,10970
3630,3070,5296,9569
4959,3070,1384,11055
605,5554,3893,10926
4649,4381,3489,11117
1688,1655,5004,10195
1944,3,5555,11299
2096,4613,6394,10057
3672,5713,2710,10942
4419,2676,4251,9400
5065,2977,2969,11512
1738,4613,5453,9580
840,3,4859,9507
472,5646,275,10753
821,3,4693,10985
3896,3070,2710,10070
3469,2793,1469,10206
6195,5278,4056,10368
1614,5167,3919,11591
4093,4988,3631,11430
4288,3994,4537,10877
2116,2710,3185,9588
5215,4613,180,10678
1231,5278,6204,10529
2765,3130,3785,10526
4208,3,6315,11349
5760,1655,4366,10112
824,5278,2541,10684
5423,2793,3756,10448
2893,2710,470,11612
1606,2793,1688,9459
2940,2100,4158,11645
1013,5278,3447,9695
5146,112,3829,11558
6032,1655,275,10476
2930,2793,3564,11519
2132,5562,1540,11483
4683,5093,2128,10311
858,112,4136,11032
1803,3070,508,9440
3220,3,3190,11564
5566,5851,3185,10087
3921,498,2710,11497
1889,3,4693,10703
4491,112,2926,11382
5939,6678,4693,11404
5661,4613,180,11490
348,3,4693,10547
5872,5554,3111,9756
3085,4613,180,9900
4662,624,5615,10637
1541,704,3231,10332
6862,5278,6169,9477
974,2710,2710,11263
4292,5278,3447,9982
115,4315,440,9944
6279,6438,4366,10723
2157,105,3660,10169
3826,2364,2231,10408
1413,3,1367,11168
4208,1600,2448,10439
5850,2419,3132,9694
5829,4734,5582,10997
1372,3,530,10624
1872,2341,1431,9949
3170,1655,2710,9696
2746,6678,3759,11287
408,2710,4056,10603
5390,3,499,10674
2810,4115,5320,9824
6643,1334,2458,10491
