title,manufacturer,price,SampleID
4297,5115,5334,10589
6121,3579,3760,10997
11631,3078,2612,10889
3421,4822,4415,9422
10992,5115,9415,11287
10280,2344,3666,9593
8001,1328,9555,10332
622,5115,6060,10806
8213,9152,11060,10352
1049,11084,2361,10089
3201,8556,8597,9561
11543,5115,3628,11168
1839,1328,8120,10517
4557,9871,2403,10996
9936,7377,4402,10414
7694,3579,898,10803
10406,11084,1036,9508
7694,9152,4239,11591
10261,3579,7155,9823
3587,8327,10055,10926
8158,9219,4687,11588
10854,2565,9966,10843
11374,5115,11365,9964
313,9219,2361,11497
4436,7539,9719,9545
3719,4546,8452,10844
7596,8327,2884,9894
11103,5882,3307,10425
9711,8556,6067,9775
3291,8556,3709,9592
2992,7714,9707,9993
9844,5115,11018,9507
622,5115,5603,10851
2687,10789,10454,9897
8394,8207,1185,10901
6825,9024,6647,11055
7287,5960,8677,10070
11412,5115,629,11403
4492,2344,8560,10480
8132,5115,2959,11034
7162,5115,4718,10155
4771,7539,6060,10630
3991,2361,1081,10603
11018,5017,4053,9591
6039,9100,6144,9672
3253,931,10749,9722
635,9871,2403,11404
8357,4546,6065,11490
10290,2569,11396,10445
11579,10789,6125,9741
6359,182,1144,9944
5606,6324,2403,9974
4842,5115,3118,11375
2176,7539,7348,10674
9236,5115,2403,10703
6139,8327,696,10849
7418,5115,2403,9515
10884,8556,8854,9963
622,9174,9707,9949
8124,9174,1134,10753
6173,1541,4270,11227
10280,7377,898,10112
8919,182,797,9549
3494,2361,3939,10049
5439,9174,9612,10667
3156,4546,6065,9900
8801,1466,392,9453
7751,9871,4420,9496
3519,2270,5832,10408
3337,8556,11601,9459
10234,9174,2203,10063
422,2361,5966,10677
7267,1201,4423,10087
712,8556,10631,11584
6584,8556,2632,10388
9038,6150,539,9694
9140,4546,6065,10678
1347,7644,742,10113
622,5115,3628,11200
10979,9174,3776,9411
4329,7853,1137,10402
8001,11065,4555,11415
7374,8556,6347,10736
5485,5017,2361,10942
9984,4546,10764,11569
5054,1466,2935,10178
8734,1709,10454,11540
9112,9174,9179,11483
424,5115,7875,10223
8912,2565,4847,11117
3426,10289,6494,10723
9528,8327,1944,11642
1510,4546,5235,10779
5369,8556,5411,11519
4993,2361,2361,11263
121,9174,10021,10692
3274,7539,8677,9874
7082,5115,4705,11004
8973,8327,1013,10294
7497,216,4320,9393
10905,2361,6981,11458
9740,3079,2612,10684
3494,2361,3939,11529
11526,2361,7328,9818
9505,3079,4555,10397
4923,4729,8143,9430
3086,8556,6300,11132
11412,5115,542,11652
1581,615,6773,11450
11060,3079,8987,10954
11033,9100,11619,9563
2194,8327,2112,11282
7938,9261,4007,11380
3086,6248,1466,9739
9142,4453,4216,10167
4579,2361,1802,10635
3308,9152,2361,11466
10707,2569,8893,10437
4156,5115,8996,11299
518,7025,9586,10463
1033,8327,9765,10577
2992,8556,10835,11407
4278,9174,2403,9978
4249,6150,6306,10343
4571,1709,2361,10821
10317,11003,5776,11160
3156,4546,2821,11237
4525,3200,8514,11231
3274,5115,8677,10985
4639,4719,2102,11216
8899,4546,9434,9580
184,5960,11344,10729
2316,8556,846,10166
10490,3079,11210,10529
3858,7377,2361,9696
10992,6794,9921,11512
9995,2361,3009,9588
9123,6248,3009,10381
4557,2344,11137,9440
5387,182,8908,9432
6119,2361,9979,9990
2156,6438,3084,10491
7750,7539,7386,10117
1230,6849,5334,10999
862,6150,6230,11586
11131,3079,6609,11444
1210,5115,3429,11564
821,6438,8677,11335
5790,4546,328,9885
10441,8556,8380,10448
5054,11485,6871,11119
9505,4546,7230,11286
10290,3079,8842,10368
2805,9021,8724,9426
10046,7377,3652,10195
10737,441,7750,10970
622,4729,1013,10439
745,3337,10268,10978
635,8001,678,10923
3261,3079,8987,9567
3412,8207,2361,9723
6644,3579,10685,11329
2946,8556,9219,9708
6126,3079,3709,10758
4594,1201,8448,9969
11033,3579,3127,9991
1484,2361,2950,10323
2946,1709,2361,9771
3719,4546,9237,10057
9151,5360,8358,9854
7530,7539,2959,9624
7032,8207,4262,11325
5439,5115,2111,10526
10261,2331,461,11430
11412,3579,7992,9863
5129,3579,9085,9526
310,4546,6065,10375
8413,7377,353,10476
7927,2361,4423,9767
9586,10936,8677,9602
753,2361,5992,10781
847,2361,10680,10067
5483,3579,2236,10637
6139,8327,6175,11001
203,4453,4216,9513
11033,216,8026,10282
299,7377,4402,11092
9838,4546,2403,10861
3942,4791,2053,10809
10560,6248,11619,10545
2907,8556,3426,10206
4837,2361,8556,10310
660,7853,1054,9645
5402,6317,7595,10693
5337,7539,3487,11150
4631,8556,8987,11558
3543,2361,296,11612
9464,5115,8996,9571
2426,3078,3811,9569
9166,9174,2068,10169
5522,8327,5929,9756
6411,1328,240,10719
7583,8556,11396,11032
622,5115,2474,10276
11359,2344,7780,10377
11412,4719,9017,10209
10874,5115,8677,10547
7550,4791,5257,11148
4577,4729,2403,10051
9641,5115,8677,10163
8613,3079,9047,9695
6132,4616,8805,10724
8674,7655,4122,11645
6827,8952,9774,11382
2132,4546,10001,10877
8949,3079,9047,9982
9251,5115,730,10624
622,5115,542,10519
1323,8327,31,9975
5817,2128,3836,10311
11438,8327,4898,11372
622,5115,7650,11349
2612,8556,1234,9891
4659,9100,8799,9400
10301,5115,2403,9486
5337,8556,1708,11292
2176,4729,1620,10920
3564,2128,7680,9824
7640,5115,1137,11563
11429,8556,3066,9517
11142,1328,31,11472
3531,8556,8896,10120
11378,3079,5992,9477
9119,6314,4278,11248
