authors,a1,title,affiliation,proceeding,location,a2,a3,pages,editor,a4,a5,sample_id
15.237485885620117,13.841228485107422,15.077404022216797,11.022093772888184,13.802223205566406,13.807520866394043,14.546907424926758,14.606745719909668,13.168611526489258,12.528648376464844,12.50466537475586,13.124616622924805,7834
15.037630081176758,13.127348899841309,15.05472183227539,11.011673927307129,13.695033073425293,13.725411415100098,13.82870101928711,14.46486759185791,13.053057670593262,11.748652458190918,12.421789169311523,12.421058654785156,8313
14.465676307678223,13.008827209472656,14.336212158203125,10.343260765075684,13.10540771484375,12.451240539550781,13.664891242980957,13.780614852905273,12.421008110046387,12.31939697265625,12.296119689941406,12.344748497009277,7056
13.827526092529297,12.441950798034668,13.709169387817383,10.275668144226074,12.479100227355957,12.389704704284668,12.364280700683594,13.73511028289795,11.724920272827148,11.706624984741211,11.050724983215332,11.74712085723877,8173
16.00217628479004,13.893098831176758,15.348075866699219,11.157519340515137,14.02170181274414,14.525707244873047,15.360516548156738,14.699978828430176,13.882332801818848,12.590645790100098,13.2799654006958,13.201409339904785,7115
14.460426330566406,13.021692276000977,13.850034713745117,10.366968154907227,12.497562408447266,12.999041557312012,13.092611312866211,13.833952903747559,12.36372184753418,11.7794828414917,11.703962326049805,12.344822883605957,8383
15.334921836853027,13.854679107666016,15.194028854370117,11.092135429382324,13.845551490783691,13.924310684204102,15.180672645568848,14.690224647521973,13.251450538635254,12.567827224731445,12.582030296325684,13.130218505859375,7611
15.115254402160645,13.172966957092285,14.362602233886719,10.367513656616211,13.201684951782227,13.816106796264648,13.844615936279297,14.504883766174316,13.04056453704834,11.756482124328613,12.436525344848633,12.442071914672852,9913
15.185543060302734,13.193987846374512,15.147353172302246,10.981789588928223,13.231335639953613,13.137182235717773,14.4474458694458,14.469528198242188,13.152970314025879,12.428872108459473,12.521407127380371,12.483299255371094,7601
15.158684730529785,13.204463958740234,14.495733261108398,10.46847152709961,13.249940872192383,13.821887016296387,14.513545989990234,14.535429000854492,13.105557441711426,11.856492042541504,12.47985553741455,12.490631103515625,8802
15.979263305664062,13.988917350769043,15.28070068359375,11.213027000427246,13.969732284545898,13.976785659790039,15.154272079467773,15.295557975769043,13.796076774597168,13.150995254516602,13.103498458862305,13.265036582946777,7007
15.150647163391113,13.0769624710083,14.488649368286133,10.382018089294434,13.177903175354004,13.176986694335938,13.816636085510254,13.91213607788086,12.497925758361816,11.815113067626953,12.35554027557373,12.397149085998535,9400
