match_score,label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price
0.5127888917922974,0,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,199.0,122-00411 microsoft visual studio 2005 team edition for software testers complete packag,,199.95
0.6961212158203125,0,adobe dreamweaver cs3 [ mac ],adobe,199.0,adobe cs3 web premium,,199.95
0.8385637998580933,0,adobe creative suite cs3 web standard [ mac ],adobe,199.0,adobe cs3 web premium,,199.95
0.53008633852005,0,adobe dreamweaver cs3 [ mac ],adobe,199.0,adobe illustrator cs3 ( mac ),,199.95
0.9010905027389526,0,adobe soundbooth cs3,adobe,199.0,adobe dreamweaver cs3,,199.95
0.5804784893989563,0,adobe dreamweaver cs3 [ mac ],adobe,199.0,adobe flash cs3 professional ( mac ),,199.95
0.9594672918319702,0,adobe photoshop cs3 [ mac ],adobe,199.0,adobe flash cs3 professional ( mac ),,199.95
0.9961814284324646,0,adobe dreamweaver cs3 [ mac ],adobe,199.0,adobe indesign cs3 for mac,,199.95
0.9945188164710999,0,adobe photoshop cs3 [ mac ],adobe,199.0,adobe indesign cs3 for mac,,199.95
0.8725764751434326,0,adobe photoshop cs3 extended [ mac ],adobe,199.0,adobe indesign cs3 for mac,,199.95
0.6406695246696472,0,instant immersion french 2.0,topics entertainment,199.0,instant immersion italian 2.0,topics entertainment,199.95
0.7467154264450073,0,i transfer dvds 2 ipod edition ( win/mac ),me-too-software,199.0,i copydvds 2 professional edition,me-too-software,199.95
0.5912305116653442,0,adobe photoshop cs3 extended upgrade [ mac ],adobe,199.0,adobe cs3 web premium upgrade,,199.95
0.8998845815658569,0,adobe dreamweaver cs3 upgrade,adobe,199.0,adobe cs3 design standard upgrade windows,,199.95
0.5589420199394226,0,adobe flash pro cs3 [ mac ],adobe,199.0,adobe cs3 flash professional academic,,199.95
0.5645109415054321,0,adobe creative suite cs3 production premium upgrade,adobe,199.0,adobe cs3 design premium upgrade,,199.95
0.5228685736656189,0,instant immersion japanese ( audio book ),topics entertainment,199.0,topics entertainment instant immersion italian 2.0,,199.95
0.9845969080924988,0,instant immersion german v2 .0 ( pc & mac ),topics entertainment,199.0,topics entertainment instant immersion italian 2.0,,199.95
0.5375497341156006,0,acrobat professional 8 ( windows ),adobe,199.0,adobe after effects professional 7 software for windows effects software,,199.95
0.8614926338195801,0,microspot macdraft professional ( mac ),microspot ltd.,199.0,orgchart professional 1.3,,199.95
0.6488404870033264,0,systemsuite 8 professional,individual software,199.0,orgchart professional 1.3,,199.95
0.7611602544784546,0,acrobat professional 8 mac upsell standard-professional,adobe,199.0,adobe acrobat v8 .0 professional for mac,,199.95
0.9320162534713745,0,microsoft office & windows training professional,topics entertainment,199.0,professor teaches windows xp home & pro,,199.95
0.5063198804855347,0,microsoft office & windows training,topics entertainment,199.0,microsoft academic microsoft office project 2003 professional,,199.95
0.9491400718688965,0,microsoft office 2004 professional ( mac ),microsoft,199.0,microsoft microsoft office 2004 software suite mac education apple & mac software,,199.95
0.997266411781311,0,microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft corporation,199.0,microsoft microsoft office 2004 software suite mac education apple & mac software,,199.95
0.9866577386856079,0,microsoft office 2004 standard ( mac ),microsoft,199.0,microsoft microsoft office 2004 software suite mac education apple & mac software,,199.95
0.7840816378593445,0,microsoft office small business 2007 full version,microsoft,199.0,microsoft office outlook 2007,,199.95
0.8031988739967346,0,microsoft office small business 2007,microsoft software,199.0,microsoft office outlook 2007,,199.95
0.8236785531044006,0,netgear vpn01l vpn client software,netgear,199.0,software,,199.95
0.7413755655288696,0,microsoft office excel 2007,microsoft,199.0,microsoft onenote 2007 ( pc ),,199.95
0.7902311682701111,0,microsoft office 2004 professional ( mac ),microsoft,199.0,microsoft office 2004 student/teacher,,199.95
0.9280202984809875,0,microsoft visio standard 2007,microsoft,199.0,microsoft excel 2007 ( pc ),,199.95
0.9354682564735413,0,quickbooks pro 2007 small business financial software,intuit,199.0,quickbooks pro 2007 win,,199.95
0.9669986963272095,0,microsoft office 2004 professional ( mac ),microsoft,199.0,office mac 2004 microsoft 731-01002,,199.95
0.596462607383728,0,microsoft office small business 2007 full version,microsoft,199.0,office mac 2004 microsoft 731-01002,,199.95
0.9305131435394287,0,microsoft office student and teacher edition 2004 macintosh,microsoft,199.0,office mac 2004 microsoft 731-01002,,199.95
0.6031635999679565,0,microsoft office 2004 professional ( mac ),microsoft,199.0,microsoft excel 2004 spreadsheet software mac apple & mac software,,199.95
0.877281129360199,0,microsoft office excel 2007,microsoft,199.0,microsoft excel 2004 spreadsheet software mac apple & mac software,,199.95
0.8833216428756714,0,microsoft windows live onecare 1.5 online pc care subscription [ 12 months ],microsoft,199.0,microsoft windows vista business ( pc ),,199.95
0.9759268760681152,0,microsoft windows vista business 32-bit for system builders,microsoft,199.0,microsoft windows vista business ( pc ),,199.95
0.6896855235099792,0,microsoft word 2007 version upgrade,microsoft,199.0,microsoft onenote 2007 upgrade ( pc ),,199.95
