ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),microsoft,159.98,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office frontpage 2003 academic version windows ),microsoft,129.95,"('price',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),microsoft,109.99,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),microsoft software,735.33,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),microsoft,239.99,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),microsoft,229.99,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft powerpoint 2004 ( mac ),microsoft,129.95,"('price',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),microsoft,149.99,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),microsoft,399.99,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office 2004 standard ( mac ),microsoft,129.95,"('price',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),microsoft,259.95,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),microsoft,499.99,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),microsoft,299.0,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),microsoft,229.99,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft excel 2004 ( mac ),microsoft,129.95,"('price',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),corel,149.99,"('title',)"
microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),microsoft,109.95,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,413.99,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,69.71,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,239.95,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,79.99,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,249.95,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,209.99,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,168.03,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft t73-00091 molpc visio std sa,,129.95,"('price',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,89.99,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,168.99,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,257.71,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,79.99,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,108.87,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,231.29,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,88.8,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,599.95,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,234.95,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft visio standard 2007 version upgrade,,79.95,"('title',)"
microsoft office visio standard 2007 upgrade ( pc ),,129.95,microsoft onenote 2007 upgrade ( pc ),,129.95,"('price',)"
microsoft visual studio professional 2005 upgrade,microsoft software,549.0,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft,109.99,"('title',)"
microsoft visual studio professional 2005 upgrade,microsoft software,549.0,microsoft visual studio team edition for software developers 2005 with msdn premium,microsoft,549.0,"('price',)"
microsoft visual studio professional 2005 upgrade,microsoft software,549.0,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft,239.99,"('title',)"
microsoft visual studio professional 2005 upgrade,microsoft software,549.0,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft software,5099.0,"('title',)"
microsoft visual studio professional 2005 upgrade,microsoft software,549.0,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,549.0,"('price',)"
microsoft visual studio professional 2005 upgrade,microsoft software,549.0,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft software,799.0,"('title',)"
microsoft visual studio professional 2005 upgrade,microsoft software,549.0,visual studio pro 2005 upgrade ( pc ) microsoft,microsoft software,2309.0,"('title',)"
microsoft visual studio professional 2005 upgrade,microsoft software,549.0,microsoft visual studio team edition for software testers 2005 w/msdn premium renewal,microsoft software,549.0,"('price',)"
