ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes
elite screens cinegray prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,elite screens cinewhite cinema235 series fixed frame wide screen - 85 diagonal,projection screens,elite,,1069.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,powergain prime vision series fixed frame screen - 135 diagonal,electronics - general,elite screens,pvr135h1,1069.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,cinewhite prime vision series fixed frame screen - 120 diagonal,electronics - general,elite screens,pvr135h1,1069.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,cinewhite cinema235 series fixed frame wide screen - 96 diagonal,electronics - general,elite screens,pvr135h1,1069.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,cinegray silverframe series silver fixed frame cinegray screen - 84 diagonal,electronics - general,elite screens,pvr135h1,1069.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,powergain prime vision series fixed frame screen - 120 diagonal,electronics - general,elite screens,pvr135h1,1069.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,cinegray silverframe series silver fixed frame cinegray screen - 92 diagonal,electronics - general,elite screens,pvr135h1,1069.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,cinegray ezframe series fixed frame screen - 84 diagonal,electronics - general,elite screens,pvr135h1,1069.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,cinegray ezframe series fixed frame screen - 150 diagonal,electronics - general,elite screens,pvr135h1,1069.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,cinewhite prime vision series fixed frame screen - 150 diagonal,electronics - general,elite screens,pvr135h1,1069.0,"('title',)"
michigan wolverines iphone 4 case silicone cover,electronics - general,tribeca,fva3437,24.99,san diego padres iphone 4 case silicone cover,computers accessories,tribeca,,17.99,"('title',)"
michigan wolverines iphone 4 case silicone cover,electronics - general,tribeca,fva3437,24.99,michigan wolverines iphone 3g silicone cover,computers accessories,tribeca,,17.99,"('title',)"
michigan wolverines iphone 4 case silicone cover,electronics - general,tribeca,fva3437,24.99,los angeles angels of anaheim iphone 4 case silicone cover,computers accessories,tribeca,,17.99,"('title',)"
michigan wolverines iphone 4 case silicone cover,electronics - general,tribeca,fva3437,24.99,michigan wolverines iphone 4 case silicone cover,computers accessories,tribeca,fva3955,17.99,"('modelno',)"
michigan wolverines iphone 4 case silicone cover,computers accessories,tribeca,,17.99,georgia bulldogs iphone 4 case silicone cover,electronics - general,tribeca,fva3437,24.99,"('title',)"
michigan wolverines iphone 4 case silicone cover,computers accessories,tribeca,,17.99,san antonio spurs iphone 4 case silicone cover,electronics - general,tribeca,fva3437,24.99,"('title',)"
