ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,powergain prime vision series fixed frame screen - 135 diagonal,electronics - general,elite,,1069.0,"('category',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,powergain prime vision series fixed frame screen - 135 diagonal,projection screens,elite,pvr135h1,1069.0,"('modelno',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,powergain prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,"('price',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,929.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,cinewhite prime vision series fixed frame screen - 120 diagonal,electronics - general,elite,,929.0,"('category',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,459.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,cinewhite cinema235 series fixed frame wide screen - 96 diagonal,electronics - general,elite,,459.0,"('category',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,205.2,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,929.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,powergain prime vision series fixed frame screen - 120 diagonal,electronics - general,elite,,929.0,"('category',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,225.85,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,cinegray silverframe series silver fixed frame cinegray screen - 92 diagonal,electronics - general,elite,,225.85,"('category',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,519.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,879.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,elite screens cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1179.0,"('title',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,cinewhite prime vision series fixed frame screen - 150 diagonal,electronics - general,elite,,1179.0,"('category',)"
cinegray prime vision series fixed frame screen - 135 diagonal,projection screens,elite,,1069.0,cinewhite prime vision series fixed frame screen - 150 diagonal,projection screens,elite,pvr135h1,1179.0,"('modelno',)"
michigan wolverines iphone 4 case silicone cover,computers accessories,tribeca,,17.99,michigan wolverines iphone 4 case silicone cover,computers accessories,tribeca,,17.99,"('title',)"
