Closer_vector,distance,max_difference_dimension
332,9.65518274623995,12
332,7.179778965992319,12
332,8.383277456460654,12
332,5.5509154670388625,12
85,5.686850197969043,1004
295,6.498515682603341,12
332,6.506242407530275,12
89,5.4432823714603575,33
269,3.969240842677494,904
327,6.906222046230998,12
332,5.727665651452428,12
250,4.558134230140711,904
332,9.154725891062744,12
321,7.041700621790171,33
332,6.464514166137356,33
364,7.85450294627165,12
332,7.757934000661754,12
332,7.245964280360584,12
286,7.387207924074176,1004
89,5.7265978423336374,961
332,8.256675792791478,12
332,9.239905252520822,12
295,8.45289587262934,12
332,8.100755011607266,12
332,6.152669413265547,12
295,8.852144377052008,12
250,4.94709824811739,33
321,4.316566854312619,12
13,5.27367464330311,1004
184,6.871285141605301,11
89,4.824033724047623,11
332,7.179778965992319,12
295,6.231663810102548,33
327,6.778177613810617,11
332,8.715592652755912,12
295,5.873857786988374,33
332,8.390548558654315,12
332,7.858519025706498,12
295,6.8242329969014035,961
295,7.509374582080405,12
89,4.603100176797186,1004
332,8.499495862732168,12
332,5.842233277107432,12
332,8.803789159709565,12
295,5.40912184166597,33
89,5.283792146987186,11
89,5.300907624930846,1004
250,3.283743598241298,904
89,4.4645818365801855,1004
295,8.560838292196069,961
243,6.300768268466067,33
321,8.27774593612592,12
235,3.9904251824425256,11
295,6.8242329969014035,961
259,5.434431788831431,33
327,7.096786905309187,11
89,5.442961190443461,33
332,9.244345108987618,12
295,7.7370236334160465,961
89,5.455300020455998,1004
332,6.681688388296296,12
332,4.3810428507360415,12
295,11.634420374117157,12
89,5.506380860050007,966
295,8.552057464234714,12
312,7.029413478031723,12
321,3.9453319489927297,12
89,4.51584933780375,11
364,11.318418109435134,12
332,9.551036991398728,12
332,10.875709060102785,12
295,7.55850720569481,961
321,4.068282352312598,12
136,7.972856092774679,961
85,5.421907337858937,11
89,5.970343578118394,11
97,3.2013331204991267,941
295,7.863388460228829,33
332,9.071123521670337,12
295,11.444506144647766,12
89,4.575200032005374,961
286,7.405428065157563,1004
332,9.665742479897848,12
250,4.928505366870662,33
89,5.3180939342945,1004
85,5.072357395532982,1004
168,7.134345135755162,33
297,3.526247598764913,943
332,7.120387152840072,12
250,4.501746895044596,33
332,9.965947820693149,12
85,5.951570725746799,11
381,6.927918471555498,1004
379,5.82646805164163,992
295,8.873326634319138,12
295,6.604034992517259,12
184,6.655975992843222,11
85,5.330112670455141,11
22,4.461369207675673,900
184,6.853485556112181,11
184,6.998808658125385,1004
184,6.887634422517534,11
295,6.816204986183235,961
332,8.416004955046752,12
332,6.891864581326238,12
332,7.168032099507518,12
89,4.8307027226621715,11
250,4.4877489677830384,33
89,4.521107653191963,961
327,5.2872704837746545,33
184,7.452152132508654,11
345,5.826108659838929,11
295,8.839940510597113,12
250,4.4877489677830384,33
280,5.130446702950932,1004
89,4.22296336755873,961
89,5.126636900275539,11
332,11.684914190325745,12
295,8.001358579980964,33
184,6.847316390885227,11
332,7.812451317381959,12
295,8.683255610742155,12
332,7.040326030009582,12
332,6.548755034941752,12
332,8.354575065012243,12
332,11.441114117734402,12
332,5.694644733151091,12
295,5.708998141756493,11
381,7.253962864852824,33
70,5.761850378949356,900
295,7.816946179484584,12
57,8.110440115801948,961
