ltable_id,rtable_id
1325,4279
5627,6540
5151,43655
5151,43674
316,22301
316,22307
1560,41583
1560,41584
1560,41585
1560,41586
1560,41587
1560,41588
1560,41589
1560,41590
1560,41591
1560,41592
1560,41593
1560,41594
1560,41595
1560,41597
2053,10354
3135,52265
3135,52266
3259,4533
3259,4534
3259,4537
3259,4539
1695,13249
1695,13263
2246,20642
3715,54896
6239,13718
3051,17573
1824,20222
1824,20232
839,23706
919,23706
3963,25413
3963,25417
1458,49477
1458,49495
1458,49517
1615,27518
247,29638
247,29644
6782,24993
6782,25005
6782,25017
6782,25029
506,1878
