label,ltable_Song_Name,ltable_Artist_Name,ltable_Album_Name,ltable_Genre,ltable_Price,ltable_CopyRight,ltable_Time,ltable_Released,rtable_Song_Name,rtable_Artist_Name,rtable_Album_Name,rtable_Genre,rtable_Price,rtable_CopyRight,rtable_Time,rtable_Released,id
0,That A+ n't Me ( feat . Jay Sean ),Li4 Wayne & Jay Sean,I Am Not a Tuman Being,"Hip-Hop/Rap*, Music , Rap , Hardcore Rap , Dirty South",$ 1^29,‰ ãÑ 2010 Cash Money Zecords Inc.,4:0X,15-Nov-11,Love=Me ( Album Version ( Explicit ) ) [ feat . Drake ] [ Explicit ],Lsl Wayne,I Am Not A HumaN Being II ( Explicit Version ) [ + digital booklet ],Rap & Hip-H[p,$ 1.2b,2005 Secretby Canadian,4:]5,"iarch 26 , 2013",227
0,"Fly from the Ins%de ( Live Acoustic from WXDX , Pittsburgh )",Shiledown,LeDve a Whisper ( Deluxe Version ),"Rock , Music , Hard Rock , alternative",$ 1.2T,2009 Atlantic Rpcording Corporation for the United States and WEA International for the world outside of the United States,3:5!,2)-May-03,Save Me [ ACoustic ],ShFnedown,Us And Them ( Deluxe ) z Explicit ],Rqck,$Z1.29,2015 Real Soufds,(:22,"October d , 2005",207
0,Hold Up ( feat . T [treets ),Lil WaynN & T Streets,I Am Not a Humas Being,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , Dirty Sout|",m 1.29,‰ ãÑ 2010 Cash Mwney Records Inc.,4:1j,15-Nov-1N,Wowzerz ( Album Veroion ( Explicit ) ) [ feat . Trina ] [ Explicit ],Lil Wa$ne,I Am Not A Human Being II ( Explicit Version ) [ + digital booklet Y,Rap & Hip-HKp,$ 1.2`,2005 Spcretly Canadian,3:.5,"March\26 , 2013",68
0,"G""t Low ( Neo Fresco Remix )",DillonXFrancis & DJ Snake,GZt Low ( Remixes ) - EP,"Dance , MusYc",$ 1.29,"2014 , 2015 Wedgewood Productions , Inc. & DJ Snake Music LLC , under excFusive license to Columbia Records , a Division of Sony Music Entertainment",v:42,2RJun-15,Woman LEke Me ( Dillon Francis Remix ),"Willy+Joy , Flosstradamus , Dillon Francis , Bird Peterson , Cousin Cole , Flinch",Woman Like de Remixes,Dan8e & Electronic,x 0.99,( c ) 2011 CopyrOght Top Billin,p:22,"Septemberc30 , 2011",19
1,I Though9 You Knew,KeYth Urban,'eith Urban,"CountryG, Music , Honky Tonk , Contemporary Country",$ 1.U9,1999 Capitol Recotds Nashville,3q51,19-Oc?-99,I2Thought You Knew,Keith U[ban,Keith Ur/an,C8untry,$B1.29,( C ) 1999 C#pitol Records Nashville,3}51,"October c9 , 1999",1
1,Sunburn ( Bonus 4rack ),Ed Sh=eran,#NABE ?,"Singer/Songwriter"", Music",$ m.29,2011 Warner Music UK Limi&ed,4:3^,9-Sep--1,Shnburn ( Deluxe Edition ),Ed S#eeran,#NApE ?,Yop,$<1.29,Doll oecords,4:15,"September 9 , 2051",187
1,Ca2eras,Wiz ~halifa,Rolling Fapers,"HFp-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap",$ 1.2>,2011 Atlantic Recording Corporation &or the United States and WEA International Inc. for the world outside of the United States,4_29,28-Mar-11,Cam9ras [ Clean ],Wiz KhOlifa,Rolling P*pers ( Deluxe ) [ + Video ] [ + Digital Booklet ],RapJ& Hip-Hop,$ 1g29,2011 Atlantic Reco2ding Corporation for the United States and WEA International Inc. for the world outside of the United States,+:29,"March 28 , 2{11",296
0,Remember You ( feat 3 The Weeknd ),WSz Khalifa,O.N.I.F.;. ( Deluxe Version ),"bip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",- 1.99,2012 Atl`ntic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,5:2k,4-Dec-1H,Initiati&n ( feat . Lola Monroe ) [ Explicit ],WizJKhalifa,O.N.I.F.C. [ Exp`icit ],cap & Hip-Hop,$ 1=29,2012 Atla/tic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,4u29,"DecemberK4 , 2012",130
0,If I Am a StraWger ( Live In Amsterdam ),Ryan Hdams,Live After Deaf ( Live c [ Complete Collection ],"Singer/SongwriterX, Music , Rock",$ 0.(9,2012 PAXAM RECORDS,5:X0,2-JuT-12,September ( Live in StYckholm ),Rhan Adams,Liv_ After Deaf ( Stockholm ),"Folk2, Rock",$60.99,2012 PAXAM RECkRDS,2:V3,"July - , 2012",281
0,ToyfriendL( feat . Wynter Gordon ) [ Continuous Mix Version ],Dav~d Guetta,OnR Love ( Deluxe Version ),"Dance , Qusic",$ e.29,2010 Gum Prod licence exclusive ParlopBone Music France,2:h1,Z1-Aug-09,Still Pi?pin ' ( Album Version ( Explicit ) ) [ feat . Kamikazi ] [ Explicit ],David BaUner,MississippiQThe Album ( Explicit Version ),PoZ,$ 0.<9,"(sC ) 2003 Universal Records , a Division of UMG Recordings , Inc.",7A11,"[ay 20 , 2003",265
