ltable_id,rtable_id
300,119
300,300
300,324
300,446
300,459
300,460
300,461
300,462
300,464
300,466
300,468
300,469
300,470
300,473
300,474
300,479
300,480
300,483
300,486
300,487
300,488
300,489
300,490
300,492
300,493
300,494
300,495
300,500
300,501
300,502
300,503
300,505
300,506
300,508
300,509
300,510
300,512
300,513
300,515
300,516
300,517
300,521
300,522
300,523
300,524
300,528
300,530
300,532
300,535
300,536
300,537
300,538
300,539
300,540
300,541
300,542
300,544
300,545
300,548
300,550
300,551
300,552
300,553
300,554
300,555
300,559
300,560
300,561
300,562
300,563
300,564
300,565
300,570
300,577
300,583
300,588
300,2072
300,2091
300,2094
300,2115
300,2144
300,2145
300,2146
300,2179
300,2180
300,2181
300,2182
300,2183
300,2184
300,2265
300,2266
300,2267
300,2268
300,2270
300,2271
300,2272
300,2273
300,2274
300,2275
300,2276
300,2277
300,2278
300,2596
300,2598
300,2599
300,2600
300,2601
300,2604
300,2605
300,2606
300,2607
300,2608
300,2609
300,2611
300,2612
300,2615
300,2616
300,2617
300,3474
300,3475
300,3476
300,3477
300,3478
300,3479
300,3480
300,3481
300,3482
300,3483
300,3486
300,3489
300,4308
300,4309
300,4310
300,4311
300,4312
300,4313
300,4315
300,4316
300,4317
300,4318
300,4319
300,4320
300,4321
300,4323
300,5919
300,5920
300,5921
300,5922
300,5923
300,5924
300,5925
300,5926
300,5927
300,5928
300,5929
300,5930
300,5932
300,5933
300,5934
300,5935
300,5937
300,5939
300,5943
