ltable_id,rtable_id
5184,38528
5184,38531
5184,38541
5184,38542
5184,38543
5184,38545
5184,38548
5184,38549
5184,38551
5184,38552
5184,38556
5184,38559
5184,38560
5184,38564
5184,38565
5184,38567
5184,38589
5184,38594
5184,38598
5184,38613
5181,38528
5181,38540
5181,38541
5181,38543
5181,38544
5181,38545
5181,38547
5181,38548
5181,38549
5181,38552
5181,38553
5181,38555
5181,38556
5181,38557
5181,38558
5181,38559
5181,38560
5181,38561
5181,38563
5181,38565
5181,38566
5181,38567
5181,38588
5181,38589
5181,38590
5181,38592
5181,38594
5181,38595
5181,38597
5181,38598
5181,38600
5181,38604
5181,38607
5181,38608
5181,38609
5181,38611
5181,38614
5181,38615
5181,38616
5181,38617
5181,38618
5181,38619
5181,38620
5181,38621
5181,46747
1245,33979
1245,33983
1245,34051
1245,34072
1245,50710
1245,50711
1245,50712
1245,50713
1245,50714
1245,50715
1245,50716
1245,50731
1245,50746
1245,50761
1245,50776
1245,50791
1245,50814
1245,50816
1245,50818
1245,50819
5720,50836
5720,50837
5720,50838
5720,50839
5720,50840
5720,50841
5720,50842
5720,50843
5720,50844
5720,50845
5720,50846
5720,50847
5720,50848
5720,50849
5720,50850
5720,50851
5720,50852
5720,50853
5720,50854
5720,50855
4610,26127
4610,26128
4610,26129
4610,26130
4610,26131
4610,26132
4610,26133
4610,26135
4610,26136
4610,26139
4610,26140
4610,26141
4610,26142
4610,26143
4610,26144
4610,26145
4610,26146
4610,26147
4610,26148
4610,26149
4610,26150
4610,26151
4610,26152
5998,5483
5998,7247
5998,9541
5998,9542
5998,9543
5998,9544
5998,9547
5998,9548
5998,9549
5998,9550
5998,9551
5998,9561
5998,9571
5998,9575
5998,16351
5998,16352
5998,16354
5998,16356
5998,16358
5998,16359
5998,16360
5536,10245
5536,10247
5536,14427
5536,14428
5536,14429
5536,14430
5536,14431
5536,14432
5536,14433
5536,14434
5536,14435
5536,14436
5536,14437
5536,14438
5536,14439
5536,14440
5536,14441
5536,14442
5536,14443
5536,14444
5536,14445
5536,14446
5536,14447
5536,14448
5536,20072
5536,20073
5536,20074
5536,20075
5536,20076
5536,20077
5536,20078
5536,20079
5536,20080
5536,20081
5536,20082
5536,20083
5536,20084
5536,20085
5536,20086
5536,20087
5536,20088
5536,20089
5536,20090
5536,20091
5536,20092
5536,20093
5536,20094
5536,20095
5536,20096
5536,20097
5536,20098
5536,20099
5536,20100
5536,20101
5536,20102
5536,20103
5536,20104
5536,20105
5536,20106
5536,20107
5536,20108
5536,20109
5536,20110
5536,20111
5536,20112
5536,20113
5536,20114
5536,20115
5536,20116
5536,20117
5536,20118
5536,20119
5536,20120
5536,20121
5536,20122
5536,20123
5536,20124
5536,20125
5536,20126
5536,20127
5536,20128
5536,20129
5536,20130
5536,20131
5536,20132
5536,20133
5536,20134
5536,20135
5536,20136
5536,20137
5536,20138
5536,20139
5536,20140
5536,23351
5536,23352
5536,23353
5536,23354
5536,23355
5536,23356
5536,23357
5536,23358
5536,23359
5536,23360
5536,23361
5536,26123
5536,26124
5536,26125
5536,26126
5536,29739
5536,29740
5536,29741
5536,29742
5536,29743
5536,29744
5536,29745
5536,29746
5536,29747
5536,29748
5536,29749
5536,29750
5536,29751
5536,40969
5536,40970
5536,40971
5536,40972
5536,40973
5536,40974
5536,40975
5536,40976
5536,40977
5536,40978
5536,40979
5536,40980
6346,8667
6346,18443
6346,18445
6346,18446
6346,18447
6346,18450
6346,18451
6346,18452
6346,18453
6346,18454
6346,18458
3093,22989
3093,22994
3093,23004
3093,23009
3093,23019
3093,23024
2514,1338
2514,1353
2514,1368
2514,1372
2514,26951
2514,26953
2514,26954
2514,26955
2514,26956
2514,26957
2514,26958
2514,26959
2514,26960
2514,26961
2514,26962
2514,26963
2514,26964
2514,26965
1481,302
1481,303
1481,304
1481,305
1481,306
1481,307
1481,308
1481,309
1481,310
1481,311
1481,4751
