exp,token,attribute,tuple,weight,data_inx
0,2000,year,R,-0.42615701452827154,0
0,secure,title,R,-0.19213248713805528,0
0,vldb,venue,R,-0.1043066924887936,0
0,the,venue,R,-0.10430669248879329,0
0,binto,authors,R,-0.050862444783373165,0
1,binto,authors,R,-0.2908369587940492,1
1,2000,year,R,-0.27661386858926795,1
1,secure,title,R,-0.21806986033847453,1
1,the,venue,R,-0.0991865143729288,1
2,binto,authors,R,-0.3540233202965497,2
2,secure,title,R,-0.3079377233330643,2
2,2000,year,R,-0.19169716453140773,2
2,the,venue,R,-0.050733873391509074,2
3,1998,year,R,-0.21656590565714132,3
3,very,venue,R,-0.20736522950339792,3
3,a,title,R,-0.1901267424693503,3
3,jerry,authors,R,-0.15200952821787242,3
4,jerry,authors,R,-0.38352708178041667,4
4,a,title,R,-0.29155483397397586,4
4,very,venue,R,-0.04624796921539604,4
4,1998,year,R,-0.037128645241007285,4
5,a,title,R,-0.42247383593761195,5
5,jerry,authors,R,-0.2956281637412983,5
5,data,venue,R,-0.022584414185493246,5
5,bases,venue,R,-0.022584414185493236,5
5,very,venue,R,-0.02258441418549298,5
5,large,venue,R,-0.022584414185492823,5
5,1998,year,R,-0.018717690594731086,5
6,sha,authors,R,-0.31417216795448993,6
6,solving,title,R,-0.28851899794123836,6
6,1996,year,R,-0.20358132916669613,6
6,acm,venue,R,-0.14365354918807244,6
7,1994,year,R,-0.2928623060115477,7
7,evaluation,title,R,-0.27761938159475774,7
7,christos,authors,R,-0.23420678685254376,7
7,acm,venue,R,-0.10697442606032266,7
8,an,title,R,-0.274979726150271,8
8,&#214;,authors,R,-0.22727708739389463,8
8,1995,year,R,-0.1941475298624287,8
8,acm,venue,R,-0.1621587643597191,8
9,&#214;,authors,R,-0.3320298685765343,10
9,1995,year,R,-0.27270939205093886,10
9,an,title,R,-0.2601518071500105,10
9,acm,venue,R,-0.04023062258312682,10
10,an,title,R,-0.43570830757028856,11
10,&#214;,authors,R,-0.3236119881120518,11
10,acm,venue,R,-0.09000340991283624,11
10,1995,year,R,-0.04121679623123548,11
11,relaxed,title,R,-0.30361311559809245,12
11,1994,year,R,-0.28827373419438695,12
11,munindar,authors,R,-0.22858238445043694,12
11,international,venue,R,-0.0759829596234054,12
12,relaxed,title,R,-0.3111034545800225,13
12,1994,year,R,-0.29345211739337884,13
12,munindar,authors,R,-0.2879592259529026,13
12,international,venue,R,-0.036637069889987585,13
13,fundamental,title,R,-0.42836853903435906,15
13,david,authors,R,-0.30805549974180946,15
13,1996,year,R,-0.015610455068265477,15
13,international,venue,R,-0.003756923077057592,15
13,of,venue,R,-0.0037569230770575566,15
13,on,venue,R,-0.003756923077057556,15
13,data,venue,R,-0.003756923077057556,15
13,management,venue,R,-0.0037569230770575553,15
13,conference,venue,R,-0.003756923077057526,15
14,1996,year,R,-0.35400156807765576,17
14,david,authors,R,-0.33940743751423874,17
