ltable_id,rtable_id,label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,id
571,946,0,microsoft visio standard 2007 version upgrade,microsoft,129.95,adobe cs3 design standard upgrade,,413.99,0
26,946,0,adobe premiere pro cs3 upgrade,adobe,299.0,adobe cs3 design standard upgrade,,413.99,1
1174,946,0,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe,199.0,adobe cs3 design standard upgrade,,413.99,2
588,946,0,adobe creative suite cs3 design standard [ mac ],adobe,1199.0,adobe cs3 design standard upgrade,,413.99,3
139,946,0,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,adobe cs3 design standard upgrade,,413.99,4
518,946,0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,adobe cs3 design standard upgrade,,413.99,5
572,946,0,adobe dreamweaver cs3 upgrade,adobe,199.0,adobe cs3 design standard upgrade,,413.99,6
592,946,0,adobe after effects cs3 upgrade,adobe,299.0,adobe cs3 design standard upgrade,,413.99,7
923,946,0,adobe illustrator cs3 upgrade [ mac ],adobe,199.0,adobe cs3 design standard upgrade,,413.99,8
516,946,0,adobe creative suite cs3 design premium upgrade [ mac ],adobe,599.0,adobe cs3 design standard upgrade,,413.99,9
1251,946,0,adobe acrobat standard 8.0,adobe,449.99,adobe cs3 design standard upgrade,,413.99,10
1262,946,0,adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 design standard upgrade,,413.99,11
615,946,0,adobe creative suite cs3 design standard upgrade,adobe,399.0,adobe cs3 design standard upgrade,,413.99,12
361,946,0,adobe creative suite cs3 web standard upsell,adobe,799.0,adobe cs3 design standard upgrade,,413.99,13
506,946,0,corel wordperfect office 12 standard upgrade,corel,149.99,adobe cs3 design standard upgrade,,413.99,14
1322,946,0,adobe creative suite cs3 design premium upsell,adobe,1599.0,adobe cs3 design standard upgrade,,413.99,15
298,946,0,state standards grade 6,topics entertainment,29.95,adobe cs3 design standard upgrade,,413.99,16
1130,946,0,adobe cs3 design premium macosx dvd,adobe,599.0,adobe cs3 design standard upgrade,,413.99,17
543,946,0,adobe photoshop cs3 upgrade [ mac ],adobe,199.0,adobe cs3 design standard upgrade,,413.99,18
465,946,0,adobe creative suite cs3 web standard upgrade [ mac ],adobe,399.0,adobe cs3 design standard upgrade,,413.99,19
608,946,0,adobe creative suite cs3 web premium upgrade [ mac ],adobe,499.0,adobe cs3 design standard upgrade,,413.99,20
6,946,0,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,adobe cs3 design standard upgrade,,413.99,21
216,946,0,adobe illustrator cs3 upgrade from freehand [ mac ],adobe,199.0,adobe cs3 design standard upgrade,,413.99,22
328,946,0,state standards grade 8,topics entertainment,29.95,adobe cs3 design standard upgrade,,413.99,23
571,3027,1,microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,129.95,24
93,3027,0,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft office visio standard 2007 upgrade ( pc ),,129.95,25
