ltable_id,rtable_id,label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,id
1115,792,1,punch ! master landscape professional & home design v 10.0,punch ! software,69.95,punch software master landscape professional & home design v 10.0,,99.99,2
1496,1177,1,office mac student/teach 04,,146.02,microsoft office student and teacher edition 2004 macintosh,microsoft,399.95,2
264,263,1,adobe photoshop cs3 extended [ mac ],adobe,999.0,adobe photoshop cs3 extended for mac,,649.0,2
543,371,1,adobe photoshop cs3 upgrade [ mac ],adobe,199.0,adobe photoshop cs3 for mac upgrade,,599.0,2
1258,2765,1,punch ! home design architectura series 18,punch ! software,129.99,punch software 41100 punch ! home design architectural series 18,punch software,69.99,2
635,279,1,family tree maker version 16 essentials,encore,29.95,encore inc family tree maker v 16 essentials,,69.95,2
774,367,1,adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe software,273.0,adobe acrobat v8 .0 professional for mac upgrade,,199.0,2
1284,1052,1,punch ! master landscape & home design,punch ! software,99.99,punch software 25100 punch ! master landscape & home design architectural 1 user ( s ) pc,,69.99,2
951,891,1,microspot macdraft professional ( mac ),microspot ltd.,349.99,microspot macdraft professional edition,,69.95,2
1142,2201,1,adobe captivate 2.0,adobe,1083.95,adobe captivate 2 software for windows presentation software,,29.95,2
1250,534,1,emedia piano and keyboard method volume 1,emedia,59.99,emedia music corp emedia piano & keyboard method,,69.99,2
571,3027,1,microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,499.99,2
890,3023,1,instant immersion japanese deluxe 2.0,topics entertainment,39.99,instant immers japanese dlx 2 .,,49.99,2
265,331,1,adobe indesign cs3 [ mac ],adobe,699.0,adobe indesign cs3 for mac,,199.0,2
860,228,1,apple ilife '06 family pack ( mac dvd ) [ older version ],apple computer,99.0,apple ilife '06 family pack,,199.0,2
1344,644,1,sportsman 's double play,masque publishing,19.95,masque publishing sportsmans double play,,,2
599,2501,1,instant immersion french deluxe 2.0,topics entertainment,49.99,instant immers french dlx 2,,19.99,2
2389,1261,1,corel intervideo dvd copy 5 express software for windows authoring software,,29.95,intervideo dvd copy 5 express,corel,49.95,2
1145,904,1,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft office 2004 standard,,129.95,2
538,2911,1,apple iwork '06 ( mac dvd ),apple,79.0,iwork '06 ( mac ) apple,,99.0,2
1141,929,1,appleworks 6.2.9,apple,79.0,appleworks 6.2 for mac,,69.95,2
791,1021,1,individual software resume maker professional deluxe 12.0,,29.99,resumemaker professional 12.0,individual software,69.99,2
276,2996,1,instant immersion 33 languages,topics entertainment,49.99,instant immersion 33 languages,topics entertainment,29.99,2
774,932,1,encore software 10598 registry mechanic win 98 me 2000 xp,,26.97,registry mechanic 5.x pc system repair,pc tools,69.99,2
1190,2468,1,punch ! professional home design,punch ! software,89.99,punch software 14100 punch ! professional home design suite for windows,punch software,129.99,2
923,176,1,adobe illustrator cs3 upgrade [ mac ],adobe,199.0,adobe illustrator cs3 upgrade for mac,,1399.0,2
1246,1061,1,peachtree by sage complete accounting 2007,sage software,269.99,sage software peachtree complete accounting 2007 software for windows tax & finance software,,499.99,2
480,2457,1,jumpstart world 1st grade,knowledge adventure,19.99,knowledge adventure inc. 20223 jumpstart world 1st grade mini box,,,2
1118,950,1,adobe creative suite cs3 master collection upsell,adobe,1999.0,adobe cs3 master collection upsell from cs1,,1399.0,2
479,2452,1,sound studio 3 : record edit add effects to audio ( mac ),freeverse software,79.99,sound studio 3 for mac,,69.99,2
736,426,1,adobe creative suite cs3 production premium upgrade,adobe,799.0,adobe cs3 production premium upgrade,,499.0,2
29,2002,1,family tree maker 11.2 collector 's edition,encore,109.95,family tree maker 11 collector 's edition,,99.99,2
2329,320,1,intuit quicken premier 2007 software for windows tax & finance software,,73.95,quicken 2007 premier,intuit,1309.31,2
163,917,1,encore inc elementary advantage 2008,,33.89,elementary advantage 2008,encore software,25.97,2
2323,540,1,corel ulead videostudio 11 plus video editing and dvd authoring software win authoring software,,129.95,ulead videostudio 11 plus,corel,89.95,2
772,465,1,adobe illustrator cs3 [ mac ],adobe,599.0,adobe illustrator cs3 for mac,,199.0,2
