label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,id
0,microsoft visio standard 2007 version upgrade,microsoft,129.95,adobe cs3 design standard upgrade,,413.99,1457
0,adobe premiere pro cs3 upgrade,adobe,299.0,adobe cs3 design standard upgrade,,413.99,6491
0,adobe indesign cs3 upgrade from pagemaker [ mac ],adobe,199.0,adobe cs3 design standard upgrade,,413.99,4062
0,adobe creative suite cs3 design standard [ mac ],adobe,1199.0,adobe cs3 design standard upgrade,,413.99,5484
0,adobe creative suite cs3 design premium upsell [ mac ],adobe,1599.0,adobe cs3 design standard upgrade,,413.99,6005
0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,adobe cs3 design standard upgrade,,413.99,400
0,adobe dreamweaver cs3 upgrade,adobe,199.0,adobe cs3 design standard upgrade,,413.99,3538
0,adobe after effects cs3 upgrade,adobe,299.0,adobe cs3 design standard upgrade,,413.99,5503
0,adobe illustrator cs3 upgrade [ mac ],adobe,199.0,adobe cs3 design standard upgrade,,413.99,2806
0,adobe creative suite cs3 design premium upgrade [ mac ],adobe,599.0,adobe cs3 design standard upgrade,,413.99,3687
0,adobe acrobat standard 8.0,adobe,449.99,adobe cs3 design standard upgrade,,413.99,3311
0,adobe flash pro cs3 upgrade [ mac ],adobe,199.0,adobe cs3 design standard upgrade,,413.99,1792
0,adobe creative suite cs3 design standard upgrade,adobe,399.0,adobe cs3 design standard upgrade,,413.99,4846
0,adobe creative suite cs3 web standard upsell,adobe,799.0,adobe cs3 design standard upgrade,,413.99,314
0,corel wordperfect office 12 standard upgrade,corel,149.99,adobe cs3 design standard upgrade,,413.99,822
0,adobe creative suite cs3 design premium upsell,adobe,1599.0,adobe cs3 design standard upgrade,,413.99,906
0,state standards grade 6,topics entertainment,29.95,adobe cs3 design standard upgrade,,413.99,1199
0,adobe cs3 design premium macosx dvd,adobe,599.0,adobe cs3 design standard upgrade,,413.99,2284
0,adobe photoshop cs3 upgrade [ mac ],adobe,199.0,adobe cs3 design standard upgrade,,413.99,6238
0,adobe creative suite cs3 web standard upgrade [ mac ],adobe,399.0,adobe cs3 design standard upgrade,,413.99,1558
0,adobe creative suite cs3 web premium upgrade [ mac ],adobe,499.0,adobe cs3 design standard upgrade,,413.99,5427
0,adobe after effects professional 6.5 upgrade from standard to professional,adobe,499.99,adobe cs3 design standard upgrade,,413.99,6217
0,adobe illustrator cs3 upgrade from freehand [ mac ],adobe,199.0,adobe cs3 design standard upgrade,,413.99,5550
0,state standards grade 8,topics entertainment,29.95,adobe cs3 design standard upgrade,,413.99,2080
1,microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft office visio standard 2007 upgrade ( pc ),,129.95,2468
0,microsoft office frontpage 2003 academic version windows ),microsoft,159.98,microsoft office visio standard 2007 upgrade ( pc ),,129.95,2622
0,microsoft office small business 2007 full version,microsoft,449.95,microsoft office visio standard 2007 upgrade ( pc ),,129.95,3488
0,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,microsoft office visio standard 2007 upgrade ( pc ),,129.95,1849
0,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,microsoft office visio standard 2007 upgrade ( pc ),,129.95,898
0,microsoft office small business 2007,microsoft software,735.33,microsoft office visio standard 2007 upgrade ( pc ),,129.95,5182
0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft office visio standard 2007 upgrade ( pc ),,129.95,4087
0,microsoft powerpoint 2004 ( mac ),microsoft,229.99,microsoft office visio standard 2007 upgrade ( pc ),,129.95,6104
0,microsoft office student and teacher edition 2004 macintosh,microsoft,149.99,microsoft office visio standard 2007 upgrade ( pc ),,129.95,76
0,microsoft office 2004 standard ( mac ),microsoft,399.99,microsoft office visio standard 2007 upgrade ( pc ),,129.95,3093
0,microsoft visio standard 2007,microsoft,259.95,microsoft office visio standard 2007 upgrade ( pc ),,129.95,4633
0,microsoft office 2004 professional ( mac ),microsoft,499.99,microsoft office visio standard 2007 upgrade ( pc ),,129.95,1108
0,microsoft onenote 2007,microsoft,99.95,microsoft office visio standard 2007 upgrade ( pc ),,129.95,2472
0,microsoft mappoint 2006 standard edition,microsoft,299.0,microsoft office visio standard 2007 upgrade ( pc ),,129.95,4466
0,microsoft excel 2004 ( mac ),microsoft,229.99,microsoft office visio standard 2007 upgrade ( pc ),,129.95,2647
0,microsoft publisher 2007 version upgrade,microsoft,99.95,microsoft office visio standard 2007 upgrade ( pc ),,129.95,5348
0,corel wordperfect office 12 standard upgrade,corel,149.99,microsoft office visio standard 2007 upgrade ( pc ),,129.95,4789
0,microsoft outlook 2007,microsoft,109.95,microsoft office visio standard 2007 upgrade ( pc ),,129.95,2182
0,microsoft visio standard 2007 version upgrade,microsoft,129.95,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,3883
0,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft software,9980.0,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,1991
0,microsoft visual studio professional 2005 upgrade,microsoft software,549.0,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,1639
0,microsoft office 2004 professional ( mac ),microsoft,499.99,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,3400
0,microsoft visual studio test agent 2005 cd 1 processor license,microsoft software,5099.0,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,938
0,microsoft visual studio team edition for software architect 2005 with msdn premium,microsoft,5479.0,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,2137
0,microsoft visual studio team edition for software testers 2005 w/msdn premium renewal,microsoft software,2309.0,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,5693
0,microsoft visual studio team suite 2005 with msdn premium ( cd & dvd ),microsoft,10949.0,f1q-00302 microsoft visual studio 2005 professional edition upgrade package + msdn profe,,757.74,5170
0,microsoft visio standard 2007 version upgrade,microsoft,129.95,microsoft ( r ) money 2004 standard,,29.99,5827
0,microsoft mappoint 2006 with gps,microsoft,349.0,microsoft ( r ) money 2004 standard,,29.99,6568
0,microsoft powerpoint 2004 upgrade ( mac ),microsoft,109.99,microsoft ( r ) money 2004 standard,,29.99,1198
0,microsoft office 2004 standard upgrade ( mac ),microsoft,239.99,microsoft ( r ) money 2004 standard,,29.99,6654
0,microsoft powerpoint 2004 ( mac ),microsoft,229.99,microsoft ( r ) money 2004 standard,,29.99,5621
