ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,originalRightId
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,sigmod conference,1995,"('title', 'authors', 'year')",0@1496
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,improving timeliness in real-time secure database systems,&#214; zg &#252; r ulusoy,sigmod record,1995,"('authors', 'year')",0@925
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,sigmod record,1995,"('title', 'authors', 'year')",0@925
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,improving timeliness in real-time secure database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,"('authors', 'venue', 'year')",0@925
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,vldb,1995,"('title', 'authors')",0@459
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,index concurrency control in firm real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,"('authors', 'venue')",0@459
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,"('title', 'authors', 'venue')",0@459
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,vldb,1995,"('title', 'authors', 'year')",0@459
an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,index concurrency control in firm real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,"('authors', 'venue', 'year')",0@459
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,özgür ulusoy,the vldb journal -- the international journal on very large data bases,1995,"('title', 'authors', 'year')",1@1225
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,özgür ulusoy,very large data bases,1995,"('title', 'authors')",1@1114
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,"eric simon , angelika kotz dittrich",sigmod record,1995,"('title', 'venue')",1@1114
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,promises and realities of active database systems,özgür ulusoy,sigmod record,1995,"('authors', 'venue')",1@1114
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,"('title', 'authors', 'venue')",1@1114
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,özgür ulusoy,very large data bases,1995,"('title', 'authors', 'year')",1@1114
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,"eric simon , angelika kotz dittrich",sigmod record,1995,"('title', 'venue', 'year')",1@1114
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,promises and realities of active database systems,özgür ulusoy,sigmod record,1995,"('authors', 'venue', 'year')",1@1114
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,azer bestavros,acm sigmod record,1995,"('title', 'year')",1@372
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,advances in real-time database systems research,özgür ulusoy,acm sigmod record,1995,"('authors', 'year')",1@372
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,özgür ulusoy,acm sigmod record,1995,"('title', 'authors', 'year')",1@372
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,azer bestavros,sigmod record,1995,"('title', 'venue', 'year')",1@372
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,advances in real-time database systems research,özgür ulusoy,sigmod record,1995,"('authors', 'venue', 'year')",1@372
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,"ulrike jaeger , johann christoph freytag",acm sigmod record,1995,"('title',)",1@1578
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on active databases ( short version ),özgür ulusoy,acm sigmod record,1995,"('authors',)",1@1578
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,özgür ulusoy,acm sigmod record,1995,"('title', 'authors')",1@1578
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,"ulrike jaeger , johann christoph freytag",sigmod record,1995,"('title', 'venue')",1@1578
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,"ulrike jaeger , johann christoph freytag",acm sigmod record,1995,"('title', 'year')",1@1578
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on active databases ( short version ),özgür ulusoy,sigmod record,1995,"('authors', 'venue')",1@1578
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on active databases ( short version ),özgür ulusoy,acm sigmod record,1995,"('authors', 'year')",1@1578
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,özgür ulusoy,sigmod record,1995,"('title', 'authors', 'venue')",1@1578
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,özgür ulusoy,acm sigmod record,1995,"('title', 'authors', 'year')",1@1578
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,"ulrike jaeger , johann christoph freytag",sigmod record,1995,"('title', 'venue', 'year')",1@1578
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on active databases ( short version ),özgür ulusoy,sigmod record,1995,"('authors', 'venue', 'year')",1@1578
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,"sang h. son , rasikan david , bhavani thuraisingham",acm sigmod record,1995,"('title', 'year')",1@378
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,improving timeliness in real-time secure database systems,özgür ulusoy,acm sigmod record,1995,"('authors', 'year')",1@378
an annotated bibliography on real-time database systems,&#214; zg &#252; r ulusoy,acm sigmod record,1995,an annotated bibliography on real-time database systems,özgür ulusoy,acm sigmod record,1995,"('title', 'authors', 'year')",1@378
